Type;SKU;Name;Published;Visibility in catalog;In stock?;Backorders allowed?;Price;Stock;Categories;Attribute 1 Name;Attribute 1 Value(s);Attribute 2 Name;Attribute 2 Value(s);Attribute 3 Name;Attribute 3 Value(s);Attribute 4 Name;Attribute 4 Value(s);Attribute 5 Name;Attribute 5 Value(s)
SIMPLE;7294-H;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;25;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4257-3;LAMPARA PARA TECHO 3 BOMBILLOS;0;visible;1;notify;65;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4765-3H;LAMPARA PARA TECHO 3 BOMBILLOS;0;visible;1;notify;18;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90108737;LAMPARA PARA TECHO 3 BOMBILLOS;0;visible;1;notify;48;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90108762;LAMPARA PARA TECHO 3 BOMBILLOS;0;visible;1;notify;60;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;B1-19747;LAMPARA PARA TECHO 3 BOMBILLOS;0;visible;1;notify;62;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;10949-01;LAMPARA PARA TECHO 3 BOMBILLOS;0;visible;1;notify;62;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;5420-3H;LAMPARA PARA TECHO 3 BOMBILLOS;0;visible;1;notify;39;2;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90114703;LAMPARA PARA TECHO 4 BOMBILLOS;0;visible;1;notify;85;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90108792;LAMPARA PARA TECHO 5 BOMBILLOS;0;visible;1;notify;78;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
